imdbID,title,year,rating,genre,released,director,writer,cast,metacritic,imdbRating,imdbVotes,poster,language,country,lastupdated,type
42200,Annie Get Your Gun,1950,PASSED,"Biography, Comedy, Musical",5/17/1950,"George Sidney, Busby Berkeley","Sidney Sheldon (screenplay), Herbert Fields (book), Dorothy Fields (book)","Betty Hutton, Howard Keel, Louis Calhern, J. Carrol Naish",77.0,7.0,2842.0,https://m.media-amazon.com/images/M/MV5BMjE3NzE0OTExN15BMl5BanBnXkFtZTcwNzk0MjAzMQ@@._V1_SX300.jpg,English,USA,35:43.2,movie
43338,Ace in the Hole,1951,NOT RATED,"Drama, Film-Noir",6/29/1951,Billy Wilder,"Billy Wilder, Lesser Samuels, Walter Newman","Kirk Douglas, Jan Sterling, Robert Arthur, Porter Hall",72.0,8.2,17363.0,https://m.media-amazon.com/images/M/MV5BMTIwNjYzMTc0M15BMl5BanBnXkFtZTcwMzM2Njc0MQ@@._V1_SX300.jpg,"English, Spanish, Latin",USA,28:06.3,movie
44602,Fan-Fan the Tulip,1952,NOT RATED,"Adventure, Comedy, Romance",5/4/1953,Christian-Jaque,"Rene Wheeler (original scenario), Rene Fallet (original scenario), Christian-Jaque (adaptation), Henri Jeanson (adaptation), Rene Wheeler (adaptation), Henri Jeanson (dialogue)","Gerard Philipe, Gina Lollobrigida, Marcel Herrand, Olivier Hussenot",69.0,7.4,1802.0,https://m.media-amazon.com/images/M/MV5BMTkwNTM0Nzk2M15BMl5BanBnXkFtZTcwODI5MTk5MQ@@._V1_SX300.jpg,French,"Italy, France",08:56.3,movie
44706,High Noon,1952,PG,"Drama, Thriller, Western",7/30/1952,Fred Zinnemann,"Carl Foreman (screenplay), John W. Cunningham (magazine story ""The Tin Star"")","Gary Cooper, Thomas Mitchell, Lloyd Bridges, Katy Jurado",89.0,8.1,72202.0,"https://m.media-amazon.com/images/M/MV5BMTMyNDA3NjU0Ml5BMl5BanBnXkFtZTcwMjA0NDU3NQ@@._V1._CR32,30,293,438_SX89_AL_.jpg_V1_SX300.jpg","English, Spanish",USA,31:47.2,movie
45274,Umberto D.,1952,NOT RATED,Drama,11/7/1955,Vittorio De Sica,Cesare Zavattini (story),"Carlo Battisti, Maria Pia Casilio, Lina Gennari, Ileana Simova",92.0,8.2,15468.0,https://m.media-amazon.com/images/M/MV5BMjExOTUxMDI3Nl5BMl5BanBnXkFtZTcwNjU2MDAwMQ@@._V1_SX300.jpg,Italian,Italy,05:23.4,movie
46004,Little Fugitive,1953,NOT RATED,"Drama, Family",12/16/1953,"Ray Ashley, Morris Engel, Ruth Orkin","Ray Ashley, Morris Engel, Ruth Orkin, Ray Ashley (screen play by)","Richard Brewster, Winifred Cushing, Jay Williams, Will Lee",91.0,7.7,1374.0,https://m.media-amazon.com/images/M/MV5BMTg0OTU0NTIwN15BMl5BanBnXkFtZTcwMjY0NTEyMQ@@._V1_SX300.jpg,English,USA,35:42.0,movie
46250,Roman Holiday,1953,NOT RATED,"Comedy, Romance",9/2/1953,William Wyler,"Ian McLellan Hunter (screenplay), John Dighton (screenplay), Dalton Trumbo (screenplay), Dalton Trumbo (story)","Gregory Peck, Audrey Hepburn, Eddie Albert, Hartley Power",76.0,8.1,88920.0,https://m.media-amazon.com/images/M/MV5BMTg1ODgzODA1Nl5BMl5BanBnXkFtZTcwNTI0MzU3Mg@@._V1_SX300.jpg,"English, Italian, German",USA,11:14.3,movie
46451,Touchez Pas au Grisbi,1954,NOT RATED,"Action, Crime, Drama",2/1/1960,Jacques Becker,"Albert Simonin (novel), Jacques Becker (adaptation), Albert Simonin (adaptation), Maurice Griffe (adaptation), Albert Simonin (dialogue)","Jean Gabin, Rene Dary, Dora Doll, Vittorio Sanipoli",85.0,8.0,4304.0,https://m.media-amazon.com/images/M/MV5BMjE0NDQxMzY5OF5BMl5BanBnXkFtZTcwMzEyMzI5Ng@@._V1_SX300.jpg,French,"France, Italy",04:38.5,movie
46511,Journey to Italy,1954,NOT RATED,"Drama, Romance",9/7/1954,Roberto Rossellini,"Vitaliano Brancati (story), Roberto Rossellini (story), Colette (novel)","Ingrid Bergman, George Sanders, Maria Mauban, Anna Proclemer",100.0,7.5,4561.0,https://m.media-amazon.com/images/M/MV5BMTQ0MTc2MDEwN15BMl5BanBnXkFtZTcwNDAzNDMzMQ@@._V1_SX300.jpg,"English, Italian","Italy, France",00:40.1,movie
46521,I Vitelloni,1953,NOT RATED,"Comedy, Drama",11/7/1956,Federico Fellini,"Federico Fellini (story), Ennio Flaiano (story), Tullio Pinelli (story), Federico Fellini (screenplay), Ennio Flaiano (screenplay)","Franco Interlenghi, Alberto Sordi, Franco Fabrizi, Leopoldo Trieste",87.0,8.0,9646.0,https://m.media-amazon.com/images/M/MV5BMTgzODM1NTYxN15BMl5BanBnXkFtZTcwMTU1OTc0NQ@@._V1_SX300.jpg,Italian,"Italy, France",51:42.6,movie
47034,Godzilla,1954,UNRATED,"Horror, Sci-Fi, Thriller",5/7/2004,Ishire Honda,"Takeo Murata, Ishire Honda, Shigeru Kayama (story)","Akira Takarada, Momoko Kechi, Akihiko Hirata, Takashi Shimura",78.0,7.5,17483.0,https://m.media-amazon.com/images/M/MV5BMjAzNTk3MTc2OF5BMl5BanBnXkFtZTgwNzI5MzU5MTE@._V1_SX300.jpg,Japanese,Japan,42:18.2,movie
47296,On the Waterfront,1954,NOT RATED,"Crime, Drama",6/22/1954,Elia Kazan,"Budd Schulberg (screenplay), Budd Schulberg (based upon an original story by), Malcolm Johnson (suggested by articles by)","Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger",88.0,8.3,90271.0,https://m.media-amazon.com/images/M/MV5BMTcwMTU3MjI1OV5BMl5BanBnXkFtZTgwNjE2OTI3MjE@._V1_SX300.jpg,English,USA,01:20.2,movie
47437,Sabrina,1954,UNRATED,"Comedy, Drama, Romance",10/1/1954,Billy Wilder,"Billy Wilder (written for the screen by), Samuel A. Taylor (written for the screen by), Ernest Lehman (written for the screen by), Samuel A. Taylor (from the play by)","Humphrey Bogart, Audrey Hepburn, William Holden, Walter Hampden",72.0,7.7,40723.0,"https://m.media-amazon.com/images/M/MV5BMjIyMDAxMTExMV5BMl5BanBnXkFtZTgwOTc0ODEzMDE@._V1._CR67,63,1255,1917_SX89_AL_.jpg_V1_SX300.jpg","English, French",USA,23:36.2,movie
47478,Seven Samurai,1954,UNRATED,Drama,11/19/1956,Akira Kurosawa,"Akira Kurosawa (screenplay), Shinobu Hashimoto (screenplay), Hideo Oguni (screenplay)","Toshire Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki",99.0,8.7,208488.0,https://m.media-amazon.com/images/M/MV5BMTc5MDY1MjU5MF5BMl5BanBnXkFtZTgwNDM2OTE4MzE@._V1_SX300.jpg,Japanese,Japan,05:50.4,movie
48021,Rififi,1955,NOT RATED,"Crime, Drama, Thriller",6/5/1956,Jules Dassin,"Auguste Le Breton (novel), Jules Dassin (adaptation), Rene Wheeler (collaboration), Auguste Le Breton (collaboration), Auguste Le Breton (dialogue)","Jean Servais, Carl Mehner, Robert Manuel, Janine Darcey",97.0,8.2,17219.0,"https://m.media-amazon.com/images/M/MV5BMTQ1NTQ4MDk0Ml5BMl5BanBnXkFtZTYwNzcwOTQ5._V1._CR1,37,323,436_SY132_CR4,0,89,132_AL_.jpg_V1_SX300.jpg","French, Italian, English",France,44:30.7,movie
48424,The Night of the Hunter,1955,APPROVED,"Crime, Drama, Film-Noir",11/24/1955,"Charles Laughton, Robert Mitchum, Terry Sanders","Davis Grubb (from the novel by), James Agee (screen play)","Robert Mitchum, Shelley Winters, Lillian Gish, James Gleason",99.0,8.1,58859.0,https://m.media-amazon.com/images/M/MV5BMTU5MTMwMzMyN15BMl5BanBnXkFtZTcwODI3Njk3OA@@._V1_SX300.jpg,English,USA,23:23.2,movie
51036,Sweet Smell of Success,1957,NOT RATED,"Drama, Film-Noir",6/27/1957,Alexander Mackendrick,"Clifford Odets (screenplay), Ernest Lehman (screenplay), Ernest Lehman (novel)","Burt Lancaster, Tony Curtis, Susan Harrison, Martin Milner",100.0,8.2,18277.0,https://m.media-amazon.com/images/M/MV5BMjAwNzQ3MjE2Nl5BMl5BanBnXkFtZTcwNjU2NzI5NA@@._V1_SX300.jpg,English,USA,02:00.3,movie
51378,Elevator to the Gallows,1958,NOT RATED,"Crime, Drama, Thriller",1/29/1958,Louis Malle,"Roger Nimier (adaptation), Louis Malle (adaptation), Roger Nimier (dialogue), Noel Calef (novel), Noel Calef (pre-adaptation)","Jeanne Moreau, Maurice Ronet, Georges Poujouly, Yori Bertin",92.0,8.0,12431.0,https://m.media-amazon.com/images/M/MV5BMzk5NDA0NDYyN15BMl5BanBnXkFtZTgwMDIyMDkwMzE@._V1_SX300.jpg,"French, German",France,23:59.2,movie
52698,Classe Tous Risques,1960,NOT RATED,"Crime, Drama, Romance",4/1/1960,Claude Sautet,"Jose Giovanni (novel), Claude Sautet (adaptation), Jose Giovanni (adaptation), Pascal Jardin (adaptation), Jose Giovanni (dialogue)","Lino Ventura, Sandra Milo, Jean-Paul Belmondo, Marcel Dalio",84.0,7.5,1974.0,https://m.media-amazon.com/images/M/MV5BMTk3NTA5NjcxN15BMl5BanBnXkFtZTcwMDk3NjA3MQ@@._V1_SX300.jpg,"Italian, French","France, Italy",22:43.0,movie
53146,Black Orpheus,1959,PG,"Drama, Music, Romance",12/21/1959,Marcel Camus,"Marcel Camus, Jacques Viot, Vinicius de Moraes (play)","Breno Mello, Marpessa Dawn, Marcel Camus, Fausto Guerzoni",81.0,7.5,6684.0,https://m.media-amazon.com/images/M/MV5BNDc2OTc2NDAzOV5BMl5BanBnXkFtZTgwMjI5MTYyMTE@._V1_SX300.jpg,Portuguese,"Brazil, France, Italy",32:25.7,movie
53459,Eyes Without a Face,1960,UNRATED,"Drama, Horror, Thriller",10/24/1962,Georges Franju,"Jean Redon (novel), Pierre Boileau (adaptation), Thomas Narcejac (adaptation), Jean Redon (adaptation), Claude Sautet (adaptation), Pierre Gascar (dialogue)","Pierre Brasseur, Alida Valli, Juliette Mayniel, Edith Scob",88.0,7.8,14852.0,https://m.media-amazon.com/images/M/MV5BNTA2Njg4MDE5MV5BMl5BanBnXkFtZTgwNDQ2NjgyMjE@._V1_SX300.jpg,French,"France, Italy",04:38.0,movie
53779,La Dolce Vita,1960,NOT RATED,"Comedy, Drama",4/19/1961,Federico Fellini,"Federico Fellini (story), Ennio Flaiano (story), Tullio Pinelli (story), Federico Fellini (screenplay), Ennio Flaiano (screenplay), Tullio Pinelli (screenplay), Brunello Rondi (contributing writer)","Marcello Mastroianni, Anita Ekberg, Anouk Aimee, Yvonne Furneaux",93.0,8.1,44289.0,https://m.media-amazon.com/images/M/MV5BMTg3NjU5MTk2Ml5BMl5BanBnXkFtZTgwNTY2MTE1MjE@._V1_SX300.jpg,"Italian, English, French, German","Italy, France",26:36.8,movie
54177,Le Petit Soldat,1963,NOT RATED,"War, Drama",1/25/1963,Jean-Luc Godard,Jean-Luc Godard,"Michel Subor, Anna Karina, Henri-Jacques Huet, Paul Beauvais",97.0,7.4,3624.0,https://m.media-amazon.com/images/M/MV5BMTQ2NzczMjQyN15BMl5BanBnXkFtZTcwMzU0NDAyOQ@@._V1_SX300.jpg,French,France,27:53.1,movie
54248,Rocco and His Brothers,1960,APPROVED,"Crime, Drama, Sport",6/26/1961,Luchino Visconti,"Luchino Visconti (story), Suso Cecchi D'Amico (story), Vasco Pratolini (story), Suso Cecchi D'Amico (screenplay), Pasquale Festa Campanile (screenplay), Massimo Franciosa (screenplay), Enrico Medioli (screenplay), Luchino Visconti (screenplay), Giovanni Testori (inspired by episodes in the novel ""Il ponte della Ghisolfa"")","Alain Delon, Renato Salvatori, Annie Girardot, Katina Paxinou",80.0,8.3,10352.0,https://m.media-amazon.com/images/M/MV5BMTE5OTUwNDUzOV5BMl5BanBnXkFtZTcwNDY5MTUxMQ@@._V1_SX300.jpg,Italian,"Italy, France",26:08.4,movie
54698,Breakfast at Tiffany's,1961,NOT RATED,"Comedy, Drama, Romance",11/4/1961,Blake Edwards,"Truman Capote (based on the novel by), George Axelrod (screenplay)","Audrey Hepburn, George Peppard, Patricia Neal, Buddy Ebsen",76.0,7.8,111409.0,https://m.media-amazon.com/images/M/MV5BMzg3NTI2NzU2NF5BMl5BanBnXkFtZTcwMjQxMTQ5OQ@@._V1_SX300.jpg,"English, Portuguese",USA,06:12.2,movie
55093,Lola,1961,NOT RATED,"Drama, Romance",10/14/1962,Jacques Demy,Jacques Demy,"Anouk Aimee, Marc Michel, Jacques Harden, Alan Scott",73.0,7.6,2913.0,https://m.media-amazon.com/images/M/MV5BMzE5ODQ4MTQ2NV5BMl5BanBnXkFtZTcwNTE1NDA1NA@@._V1_SX300.jpg,"French, English","Italy, France",23:08.1,movie
55572,A Woman Is a Woman,1961,NOT RATED,"Comedy, Drama, Romance",9/6/1961,Jean-Luc Godard,Jean-Luc Godard,"Jean-Claude Brialy, Anna Karina, Jean-Paul Belmondo",71.0,7.6,9481.0,https://m.media-amazon.com/images/M/MV5BMjA2MDEyMjQwMF5BMl5BanBnXkFtZTcwMTAyODUyMQ@@._V1_SX300.jpg,French,"France, Italy",22:49.5,movie
56172,Lawrence of Arabia,1962,PG,"Adventure, Biography, Drama",12/10/1962,David Lean,"T.E. Lawrence (writings), Robert Bolt (screenplay), Michael Wilson (screenplay)","Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins",100.0,8.4,172014.0,https://m.media-amazon.com/images/M/MV5BMzAwMjM4NzA2OV5BMl5BanBnXkFtZTcwMDI0NzAwMQ@@._V1_SX300.jpg,"English, Arabic, Turkish",UK,26:29.9,movie
56210,Mafioso,1962,NOT RATED,"Comedy, Crime, Drama",10/25/1962,Alberto Lattuada,"Rafael Azcona, Bruno Caruso (story), Marco Ferreri, Agenore Incrocci, Furio Scarpelli","Alberto Sordi, Norma Bengell, Gabriella Conti, Ugo Attanasio",88.0,7.7,1599.0,https://m.media-amazon.com/images/M/MV5BMTUyMzQ1MTQxM15BMl5BanBnXkFtZTcwNzcxMzU1MQ@@._V1_SX300.jpg,"Italian, English, French, German",Italy,01:09.2,movie
56218,The Manchurian Candidate,1962,APPROVED,Thriller,10/24/1962,John Frankenheimer,"Richard Condon (based upon a novel by), George Axelrod (screenplay)","Frank Sinatra, Laurence Harvey, Janet Leigh, Angela Lansbury",94.0,8.0,59152.0,https://m.media-amazon.com/images/M/MV5BMTU1NTI0MzU4M15BMl5BanBnXkFtZTcwNzIxNjMyNA@@._V1_SX300.jpg,English,USA,34:07.6,movie
56846,Bay of Angels,1963,NOT RATED,"Drama, Romance",3/1/1963,Jacques Demy,Jacques Demy (scenario and dialogue),"Jeanne Moreau, Claude Mann, Paul Guers, Henri Nassiet",76.0,7.4,1601.0,https://m.media-amazon.com/images/M/MV5BOTYxNzk4MzE1N15BMl5BanBnXkFtZTcwOTEwMzQyMQ@@._V1_SX300.jpg,French,France,01:04.9,movie
56868,Billy Liar,1963,NOT RATED,"Comedy, Drama, Romance",12/16/1963,John Schlesinger,"Keith Waterhouse (screenplay), Willis Hall (screenplay), Keith Waterhouse (novel), Keith Waterhouse (play), Willis Hall (play)","Tom Courtenay, Wilfred Pickles, Mona Washbourne, Ethel Griffies",82.0,7.5,3939.0,https://m.media-amazon.com/images/M/MV5BMTgxMzUzMTk3MV5BMl5BanBnXkFtZTcwMDYzNzAyMQ@@._V1_SX300.jpg,English,UK,22:43.2,movie
57012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,"Comedy, War",1/29/1964,Stanley Kubrick,"Stanley Kubrick (screenplay), Terry Southern (screenplay), Peter George (screenplay), Peter George (based on the book: ""Red Alert"" by)","Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn",96.0,8.5,312300.0,https://m.media-amazon.com/images/M/MV5BMTU2ODM2NTkxNF5BMl5BanBnXkFtZTcwOTMwMzU3Mg@@._V1_SX300.jpg,"English, Russian","USA, UK",02:44.2,movie
57091,The Leopard,1963,PG,"Drama, History",7/15/1963,Luchino Visconti,"Giuseppe Tomasi di Lampedusa (novel), Suso Cecchi D'Amico (screenplay), Pasquale Festa Campanile (screenplay), Enrico Medioli (screenplay), Massimo Franciosa (screenplay), Luchino Visconti (screenplay)","Burt Lancaster, Claudia Cardinale, Alain Delon, Paolo Stoppa",100.0,8.1,14936.0,https://m.media-amazon.com/images/M/MV5BMTg0ODY5MTI2OV5BMl5BanBnXkFtZTcwMjUwNTY0NA@@._V1_SX300.jpg,"Italian, Latin, French","Italy, France",33:15.8,movie
57490,The Servant,1963,UNRATED,Drama,3/16/1964,Joseph Losey,"Harold Pinter (screenplay), Robin Maugham (novel)","Dirk Bogarde, Sarah Miles, Wendy Craig, James Fox",93.0,7.9,5585.0,https://m.media-amazon.com/images/M/MV5BMTU3OTkwODEzOV5BMl5BanBnXkFtZTcwMTY2Mjg4OQ@@._V1_SX300.jpg,English,UK,17:28.1,movie
57869,Band of Outsiders,1964,NOT RATED,"Comedy, Crime, Drama",8/5/1964,Jean-Luc Godard,Dolores Hitchens (novel),"Anna Karina, Daniele Girard, Louisa Colpeyn, Chantal Darget",88.0,7.9,14767.0,https://m.media-amazon.com/images/M/MV5BMTU1OTA2MDM4MV5BMl5BanBnXkFtZTgwNDcyMjgwMjE@._V1_SX300.jpg,"French, English",France,00:31.4,movie
57877,Becket,1964,PG-13,"Biography, Drama, History",3/11/1964,Peter Glenville,"Jean Anouilh (play), Lucienne Hill (play), Edward Anhalt (screenplay)","Richard Burton, Peter O'Toole, John Gielgud, Gino Cervi",68.0,8.0,10492.0,https://m.media-amazon.com/images/M/MV5BMzQwODUzOTM2N15BMl5BanBnXkFtZTgwNzU4ODYxMTE@._V1_SX300.jpg,"English, Latin, Welsh","UK, USA",22:21.7,movie
58182,A Hard Day's Night,1964,APPROVED,"Comedy, Musical",7/6/1964,Richard Lester,Alun Owen (original screenplay),"The Beatles, John Lennon, Paul McCartney, George Harrison",96.0,7.7,29446.0,https://m.media-amazon.com/images/M/MV5BODQ4NjAwOTkyMl5BMl5BanBnXkFtZTgwMDk4ODA3MTE@._V1_SX300.jpg,"English, German, French",UK,00:42.5,movie
58265,"Kiss Me, Stupid",1964,APPROVED,"Comedy, Romance",12/25/1964,Billy Wilder,"Billy Wilder (screenplay), I.A.L. Diamond (screenplay), Anna Bonacci (based on the play ""L'Ora della Fantasia"" by)","Dean Martin, Kim Novak, Ray Walston, Felicia Farr",63.0,7.1,4799.0,https://m.media-amazon.com/images/M/MV5BMjEwMzQ0NTc4MF5BMl5BanBnXkFtZTcwMDgzNzA2NA@@._V1_SX300.jpg,English,USA,25:34.9,movie
58450,The Umbrellas of Cherbourg,1964,UNRATED,"Drama, Musical, Romance",12/16/1964,Jacques Demy,Jacques Demy (scenario and dialogue),"Catherine Deneuve, Nino Castelnuovo, Anne Vernon, Marc Michel",86.0,7.8,13883.0,https://m.media-amazon.com/images/M/MV5BMjE5NzQ2NTQ5OF5BMl5BanBnXkFtZTgwMzYyNTM3MjE@._V1_SX300.jpg,French,"France, West Germany",30:03.5,movie
58458,The Soft Skin,1964,NOT RATED,"Drama, Romance",4/20/1964,Franeois Truffaut,"Franeois Truffaut (original scenario), Jean-Louis Richard (original scenario)","Jean Desailly, Franeoise Dorleac, Nelly Benedetti, Daniel Ceccaldi",78.0,7.6,4361.0,https://m.media-amazon.com/images/M/MV5BMTc4NTkyMzgyM15BMl5BanBnXkFtZTYwNjExMTE5._V1_SX300.jpg,"French, Portuguese, English",France,44:07.2,movie
58946,The Battle of Algiers,1966,NOT RATED,"Drama, History, War",9/20/1967,Gillo Pontecorvo,"Gillo Pontecorvo, Franco Solinas","Brahim Hadjadj, Jean Martin, Yacef Saadi, Samia Kerbash",94.0,8.2,32809.0,https://m.media-amazon.com/images/M/MV5BMTIzMjI1OTQxNV5BMl5BanBnXkFtZTcwMzc3NTYyMQ@@._V1_SX300.jpg,"French, Arabic, English","Italy, Algeria",19:19.6,movie
59229,Juliet of the Spirits,1965,NOT RATED,"Comedy, Drama, Fantasy",11/3/1965,Federico Fellini,"Federico Fellini (story), Tullio Pinelli (story), Federico Fellini (screenplay), Tullio Pinelli (screenplay), Ennio Flaiano (screenplay), Brunello Rondi (screenplay)","Giulietta Masina, Sandra Milo, Mario Pisu, Valentina Cortese",81.0,7.7,8025.0,"https://m.media-amazon.com/images/M/MV5BMTc4MDExMDAzOF5BMl5BanBnXkFtZTYwMzg0MDY5._V1._CR0,1,276,432_SX89_AL_.jpg_V1_SX300.jpg","Italian, French","Italy, France",04:14.4,movie
59418,Major Dundee,1965,APPROVED,"Adventure, War, Western",3/15/1965,Sam Peckinpah,"Harry Julian Fink (story), Harry Julian Fink (screenplay), Oscar Saul (screenplay), Sam Peckinpah (screenplay)","Charlton Heston, Richard Harris, Jim Hutton, James Coburn",62.0,6.8,4925.0,https://m.media-amazon.com/images/M/MV5BMTc0ODMzOTAxMl5BMl5BanBnXkFtZTcwMDYzODgyMQ@@._V1_SX300.jpg,"English, French, Spanish",USA,24:33.9,movie
59646,Repulsion,1965,UNRATED,"Drama, Horror, Thriller",10/3/1965,Roman Polanski,"Roman Polanski (original screenplay), Gerard Brach (original screenplay), David Stone (adaptation)","Catherine Deneuve, Ian Hendry, John Fraser, Yvonne Furneaux",91.0,7.8,31952.0,https://m.media-amazon.com/images/M/MV5BMTkzNDk3Mzg5MV5BMl5BanBnXkFtZTcwNjA5MTM1Mg@@._V1_SX300.jpg,English,UK,25:06.4,movie
60138,Au Hasard Balthazar,1966,NOT RATED,Drama,5/25/1966,Robert Bresson,Robert Bresson,"Anne Wiazemsky, Walter Green, Franeois Lafarge, Jean-Claude Guilbert",100.0,7.9,10418.0,https://m.media-amazon.com/images/M/MV5BMjEzODk0NzI0NV5BMl5BanBnXkFtZTgwMjMyNzk4MjE@._V1_SX300.jpg,"French, Latin","France, Sweden",09:16.3,movie
